100069386964226,kanou.puetrakaleem,Directed,155923,,1
100069386964226,ucpenakluk.ucpenakluk,Directed,155808,,1
100069386964226,suprianto.pane.3,Directed,155079,,1
100069386964226,100075991920504,Directed,154987,,1
100069386964226,100061995351508,Directed,154809,,1
100069386964226,irfann.mansurr,Directed,154615,,1
100069386964226,100070114785141,Directed,154561,,1
100069386964226,100090265117394,Directed,154541,,1
100069386964226,100073169845123,Directed,154537,,1
100069386964226,hendra.dedek.589,Directed,154527,,1
100069386964226,galumang.galumang,Directed,154456,,1
100069386964226,ferdi.zen.3,Directed,154422,,1
100069386964226,syamsidar.dedek.1,Directed,154041,,1
100069386964226,100087409873573,Directed,153987,,1
100069386964226,100007415798224,Directed,153940,,1
100069386964226,supri.sppinang,Directed,153856,,1
100069386964226,sarma.hasibuan.90,Directed,153443,,1
100069386964226,100072227381034,Directed,153425,,1
100069386964226,samsona.samsona.58,Directed,153411,,1
100069386964226,sahrial.sirait.94,Directed,153386,,1
100069386964226,100077094481200,Directed,152587,,1
100069386964226,100089517595679,Directed,152532,,1
100069386964226,tiara.afriza.716,Directed,152482,,1
100069386964226,100073312233911,Directed,152469,,1
100069386964226,100073372478412,Directed,152435,,1
100069386964226,100078011950694,Directed,152421,,1
100069386964226,100086645817243,Directed,152414,,1
100069386964226,100060689464268,Directed,152381,,1
100069386964226,yoko.youngkir,Directed,152367,,1
sahrial.sirait.94,100069386964226,Directed,154444,,1
defryindry.indry,100069386964226,Directed,154443,,1
sundari.akilahsifanah,100069386964226,Directed,154442,,1
dina.e.moet.1,100069386964226,Directed,154441,,1
lika.yusnanda,100069386964226,Directed,154440,,1
bambang.putri.798,cuki.ahha,Directed,156314,,1
bambang.putri.798,erdicandra.erdicandra,Directed,156266,,1
bambang.putri.798,100078196651009,Directed,156195,,1
bambang.putri.798,100076468218017,Directed,156133,,1
bambang.putri.798,100006151848674,Directed,156069,,1
bambang.putri.798,darmadi.chanigho,Directed,156064,,1
bambang.putri.798,dandin.dandin.31924,Directed,156048,,1
bambang.putri.798,bnn.benn.940,Directed,155985,,1
bambang.putri.798,bembeng.ayamikha,Directed,155964,,1
bambang.putri.798,arifin.y.gultom,Directed,155853,,1
bambang.putri.798,apuokregar.apuokregar,Directed,155824,,1
bambang.putri.798,ucpenakluk.ucpenakluk,Directed,155806,,1
bambang.putri.798,100027229384880,Directed,155795,,1
bambang.putri.798,100047019187609,Directed,155714,,1
bambang.putri.798,alim.abr.5,Directed,155451,,1
bambang.putri.798,juwitajuwita.juwitajuwita.524,Directed,154915,,1
bambang.putri.798,100055530064155,Directed,154772,,1
bambang.putri.798,iwandri.iwandri.7509,Directed,154723,,1
bambang.putri.798,100070726473115,Directed,154646,,1
bambang.putri.798,gozali.draghsters,Directed,154502,,1
bambang.putri.798,gerindra.kabun,Directed,154468,,1
bambang.putri.798,galumang.galumang,Directed,154458,,1
bambang.putri.798,100073126729846,Directed,154332,,1
bambang.putri.798,winson.gultom.90,Directed,154207,,1
bambang.putri.798,100083209870319,Directed,154172,,1
bambang.putri.798,uwo.eko.5,Directed,154111,,1
bambang.putri.798,100007415798224,Directed,153938,,1
bambang.putri.798,supri.sppinang,Directed,153860,,1
bambang.putri.798,100089142940561,Directed,153830,,1
bambang.putri.798,sunarji.sunarji.169405,Directed,153815,,1
bambang.putri.798,sitijoni.rianto.7,Directed,153562,,1
bambang.putri.798,100073080967643,Directed,153453,,1
bambang.putri.798,sarma.hasibuan.90,Directed,153446,,1
bambang.putri.798,sahrial.sirait.94,Directed,153384,,1
bambang.putri.798,100075583531040,Directed,152593,,1
bambang.putri.798,100077094481200,Directed,152588,,1
bambang.putri.798,100089517595679,Directed,152531,,1
bambang.putri.798,100073372478412,Directed,152434,,1
100027229384880,bambang.putri.798,Directed,155897,,1
dina.e.moet.1,bambang.putri.798,Directed,155896,,1
gozali.draghsters,bambang.putri.798,Directed,155895,,1
100058255179682,bambang.putri.798,Directed,155894,,1
sahrial.sirait.94,bambang.putri.798,Directed,155893,,1
100070726473115,bambang.putri.798,Directed,155892,,1
iwandri.iwandri.7509,bambang.putri.798,Directed,155891,,1
100007415798224,bambang.putri.798,Directed,155890,,1
arifin.y.gultom,bambang.putri.798,Directed,155889,,1
lika.yusnanda,bambang.putri.798,Directed,155888,,1
bedolnhany.bedol,100076277472184,Directed,156239,,1
bedolnhany.bedol,edy.gusniawan.1,Directed,156209,,1
bedolnhany.bedol,100076468218017,Directed,156129,,1
bedolnhany.bedol,defryindry.indry,Directed,156121,,1
bedolnhany.bedol,papi.alfha,Directed,156000,,1
bedolnhany.bedol,bembeng.ayamikha,Directed,155968,,1
bedolnhany.bedol,kanou.puetrakaleem,Directed,155931,,1
bedolnhany.bedol,arifin.y.gultom,Directed,155856,,1
bedolnhany.bedol,anksiguda.sembiring,Directed,155822,,1
bedolnhany.bedol,100027229384880,Directed,155794,,1
bedolnhany.bedol,100047019187609,Directed,155717,,1
bedolnhany.bedol,al.r.pratama.750,Directed,155688,,1
bedolnhany.bedol,risya.harahap,Directed,155678,,1
bedolnhany.bedol,alim.abr.5,Directed,155453,,1
bedolnhany.bedol,100030948439158,Directed,154934,,1
bedolnhany.bedol,juwitajuwita.juwitajuwita.524,Directed,154910,,1
bedolnhany.bedol,100059259618034,Directed,154833,,1
bedolnhany.bedol,100055530064155,Directed,154764,,1
bedolnhany.bedol,irfann.mansurr,Directed,154605,,1
bedolnhany.bedol,yudikurniawan.kurniawan.3348,Directed,154389,,1
bedolnhany.bedol,yudy.setiawan.773,Directed,154383,,1
bedolnhany.bedol,100083209870319,Directed,154174,,1
bedolnhany.bedol,vikri.nex,Directed,154118,,1
bedolnhany.bedol,uwo.eko.5,Directed,154113,,1
bedolnhany.bedol,syamsidar.dedek.1,Directed,154034,,1
bedolnhany.bedol,100087409873573,Directed,153999,,1
bedolnhany.bedol,100007415798224,Directed,153931,,1
bedolnhany.bedol,suriany.yani.3,Directed,153925,,1
bedolnhany.bedol,supri.sppinang,Directed,153863,,1
bedolnhany.bedol,100089142940561,Directed,153832,,1
bedolnhany.bedol,sitijoni.rianto.7,Directed,153564,,1
bedolnhany.bedol,sahfrijal.damanik,Directed,153378,,1
bedolnhany.bedol,100075583531040,Directed,152596,,1
bedolnhany.bedol,100089517595679,Directed,152525,,1
bedolnhany.bedol,tiara.afriza.716,Directed,152485,,1
mege.gi.9,bedolnhany.bedol,Directed,155963,,1
100087843673039,bedolnhany.bedol,Directed,155962,,1
arifin.y.gultom,bedolnhany.bedol,Directed,155961,,1
suriany.yani.3,bedolnhany.bedol,Directed,155960,,1
100070726473115,bedolnhany.bedol,Directed,155959,,1
defryindry.indry,bedolnhany.bedol,Directed,155958,,1
dina.e.moet.1,bedolnhany.bedol,Directed,155957,,1
100076277472184,bedolnhany.bedol,Directed,155956,,1
100089517595679,bedolnhany.bedol,Directed,155955,,1
radira.radira.3,bedolnhany.bedol,Directed,155954,,1
100007415798224,bedolnhany.bedol,Directed,155953,,1
lika.yusnanda,bedolnhany.bedol,Directed,155951,,1
supri.sppinang,100035091545794,Directed,156183,,1
supri.sppinang,100076468218017,Directed,156147,,1
supri.sppinang,kanou.puetrakaleem,Directed,155936,,1
supri.sppinang,100075991920504,Directed,154990,,1
supri.sppinang,100030948439158,Directed,154941,,1
supri.sppinang,juwitajuwita.juwitajuwita.524,Directed,154920,,1
supri.sppinang,100070726473115,Directed,154649,,1
supri.sppinang,100083209870319,Directed,154177,,1
supri.sppinang,100084706526080,Directed,154154,,1
