1,100090083893296,16
2,100090265785270,16
3,donnauli.donnauli,16
4,100069721502141,0
5,100078540712802,64
6,100075947730198,64
7,donita.ita.161,0
8,diamond.sitorus.7,64
9,rezah1997,52
10,dewi.nova.1441,160
11,defryindry.indry,160
12,dedi.doank.5243,144.5
13,bilqissila.bilqis.5,72
14,ayu.azari.961,160
15,al.r.pratama.750,128
16,yusdiana.manurung,160
17,100085334845884,64
18,zul.marpaung.77,80
19,100087409873573,32
20,sukimin.min.14019,16
21,100032030301691,160
22,100071735144971,92.84123794212219
23,sartine.enggel,146
24,100077764404055,144
25,safrijal.safrijal.71216,128
26,darwis.siahaan.524,32
27,evasusantihutapea.eva,152
28,100090154244067,32
29,darma.w.siregarr,160
30,dina.e.moet.1,148
31,darwinsitorus.bangtorus,82
32,100073290743866,32
33,sriono.ono.754,148
34,kakekazka.kakekazka,48
35,barlang.caffe,16
36,100079686950964,96
37,100053550765567,64
38,100070321208826,80
39,sanimen.sanimen.33,124
40,alinpane.alinpane,144
41,evahutapeya.eva,80
42,100045391128751,144
43,safrijal.rijal.3110,56
44,bang.napitupulu.10,96
45,100070367738996,144
46,100073953099870,96
47,jtk.jtk.7161,64
48,100070021790218,112
49,suefsuef.suefsuef,160
50,sriono.sriono.505523,112
51,sautsiahaan.sautsiahaan.96,132
52,siraja.parna.18,145
53,andro.a.syah.7,64
54,julhen.tan,16
55,100048960557089,160
56,ali.yono.1044186,96
57,100057299797461,48
58,jabrit.gobel,92.84123794212219
59,mozezprienbaster.mozezprienbaster,92.84123794212219
60,100069386964226,80
61,edseptian,160
62,100078196651009,16
63,100061686106392,112
64,100076227713024,32
65,kanou.puetrakaleem,49
66,ucpenakluk.ucpenakluk,160
67,suprianto.pane.3,128
68,100075991920504,16
69,100061995351508,0
70,irfann.mansurr,128
71,100070114785141,48
72,100090265117394,32
73,100073169845123,148
74,hendra.dedek.589,32
75,galumang.galumang,16
76,ferdi.zen.3,72
77,syamsidar.dedek.1,160
78,100007415798224,144
79,supri.sppinang,92.84123794212219
80,sarma.hasibuan.90,160
81,100072227381034,24
82,samsona.samsona.58,160
83,sahrial.sirait.94,152
84,100077094481200,24
85,100089517595679,32
86,tiara.afriza.716,148
87,100073312233911,16
88,100073372478412,16
89,100078011950694,32
90,100086645817243,32
91,100060689464268,20
92,yoko.youngkir,92.84123794212219
93,sundari.akilahsifanah,144
94,lika.yusnanda,112
95,bambang.putri.798,36
96,cuki.ahha,144.5
